SYMBOL	UCEC_CS	UCEC_OS	UCEC_TS	LUSC_CS	LUSC_OS	LUSC_TS	READ_CS	READ_OS	READ_TS	OV_CS	OV_OS	OV_TS	GBM_CS	GBM_OS	GBM_TS	BLCA_CS	BLCA_OS	BLCA_TS	HNSC_CS	HNSC_OS	HNSC_TS	LUAD_CS	LUAD_OS	LUAD_TS	COAD_CS	COAD_OS	COAD_TS	BRCA_CS	BRCA_OS	BRCA_TS	KIRC_CS	KIRC_OS	KIRC_TS	MAX_ONC	MAX_TSG	MAX_ONC_TSG
SLC7A6OS	-1	1	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	-1	1	2	0	0	0	1	2	2
C4orf14	0	0	0	0	0	0	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	1	1
C4orf15	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1
C4orf16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C4orf17	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	-1	0	1	0	0	0	-1	0	1	1	1	0	1	1	1
C4orf10	0	0	0	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	-1	1	2	0	0	0	0	0	0	0	1	1	0	0	0	1	2	2
C4orf11	0	0	0	-1	0	1	0	0	0	0	0	0	0	0	0	-1	0	1	-1	0	1	-1	0	1	0	0	0	-1	0	1	-1	0	1	0	1	1
C4orf12	0	0	0	-1	0	1	0	0	0	-1	0	1	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
ENSG00000255275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EFHA1	0	0	0	-1	1	2	1	1	0	-1	1	2	0	1	1	1	1	0	-1	0	1	-2	1	3	1	2	1	0	1	1	0	1	1	2	3	3
EFHA2	-2	0	2	-2	1	3	-1	0	1	-2	0	2	-2	0	2	-1	0	1	-1	0	1	-2	1	3	-2	0	2	-2	0	2	-2	1	3	1	3	3
AAA1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	-1	0	1	1	2	1	-2	0	2	0	0	0	-1	1	2	0	0	0	2	2	2
NBEAP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
INGX	-1	0	1	0	0	0	0	0	0	0	0	0	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	1	0	1	1
NGFB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ETV3L	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1	0	1
FLJ45717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MSL3P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GPR17	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	1	0	0	0	-1	1	2	1	2	2
ENSG00000230483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C15orf26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	1	1	1	0	0	0	0	0	0	0	1	1	1
C15orf27	0	0	0	0	0	0	0	0	0	-1	0	1	-1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	-1	0	1	0	1	1	1	1	1
C15orf24	-1	0	1	0	0	0	-1	0	1	-1	0	1	0	0	0	0	0	0	0	0	0	-1	1	2	-1	0	1	0	0	0	0	0	0	1	2	2
C15orf23	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	1	0	0	0	0	0	0	0	0	0	0	1	1
C15orf21	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	1	2	1	2
C15orf28	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	1	0	0	0	0	0	0	-1	0	1	0	0	0	0	0	0	-1	0	1	0	1	1
C15orf29	-1	0	1	0	0	0	-1	0	1	-1	0	1	0	0	0	0	0	0	1	1	0	-1	0	1	-1	0	1	0	0	0	-1	0	1	1	1	1
ZNF117	1	1	0	1	1	0	0	0	0	2	2	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	1	1	0	0	1	1	2	1	2
ZNF114	-1	0	1	-1	0	1	0	0	0	-1	0	1	1	1	0	-1	0	1	0	1	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	1	1	1
SEZ6L	0	0	0	0	0	0	0	0	0	0	0	0	-2	0	2	0	0	0	-1	0	1	-1	0	1	-1	0	1	-1	0	1	0	0	0	0	2	2
PRKAR2A	-1	0	1	-2	0	2	0	0	0	1	1	0	0	0	0	-1	0	1	-1	0	1	-2	0	2	-1	1	2	0	1	1	1	3	2	3	2	3
C20orf52	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1
PRKAR2B	-1	0	1	-1	0	1	0	0	0	1	1	0	-1	0	1	-1	0	1	-1	0	1	0	1	1	0	0	0	0	0	0	0	1	1	1	1	1
S1PR5	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	1	1	1	1	1
C20orf54	1	1	0	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	1	1	0	0	0	0	0	1	1	1	1	0	0	0	0	1	1	1
C20orf59	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	1
TMEM200B	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	1	0	0	0	-1	0	1	0	0	0	1	1	1
ITGA2B	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	1	1	0	0	0	0	1	1	-1	0	1	1	1	1
RFXDC2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RFXDC1	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	1	0	0	0	0	0	0	0	0	0	-1	0	1	0	0	0	0	0	0	0	1	1
CEPT1	0	0	0	-1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	1
PHACTR4	-1	0	1	-1	0	1	-1	0	1	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	-2	0	2	0	1	1	1	1	0	1	2	2
PHACTR1	0	1	1	-1	0	1	0	0	0	1	1	0	-1	0	1	-1	0	1	0	1	1	0	1	1	-1	0	1	0	1	1	0	1	1	1	1	1
OR2K2	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	1	0	0	0	0	0	0	-1	0	1	0	0	0	-1	0	1	-1	0	1	0	1	1
PHACTR3	-1	0	1	0	0	0	1	1	0	1	1	0	-1	0	1	0	0	0	-1	0	1	0	0	0	0	1	1	1	1	0	0	0	0	1	1	1
NUP107	-1	0	1	1	1	0	0	0	0	1	1	0	1	2	1	0	1	1	0	0	0	0	1	1	1	2	1	1	1	0	0	0	0	2	1	2
KRTAP2-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KRTAP2-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	1	1	1	0	1	1	0	0	0	0	-1	0	1	0	0	0	1	1	1
KRTAP2-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	1	0	0	0	0	1	1
KRTAP2-4	0	0	0	-1	0	1	0	0	0	-1	0	1	0	0	0	-1	0	1	-1	0	1	-1	0	1	1	1	0	-1	0	1	-1	0	1	1	1	1
CCZ1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SBF1P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPAR	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
VMP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PPIAP8	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	-1	0	1	0	0	0	-1	0	1	1	1	1
NR1D1	-1	0	1	0	0	0	0	0	0	-1	0	1	-1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	1	1	1	1	1
